obs_id,timestart,timeend,valor,timeupdate
16225316366,2021-05-07 02:00:00,2021-05-07 03:00:00,0,2021-05-07 02:17:18.062028
16225449002,2021-05-07 03:00:00,2021-05-07 04:00:00,0,2021-05-07 03:17:13.972928
16225549030,2021-05-07 04:00:00,2021-05-07 05:00:00,0,2021-05-07 04:17:05.541711
16225667292,2021-05-07 05:00:00,2021-05-07 06:00:00,0,2021-05-07 05:17:17.083633
16225871734,2021-05-07 06:00:00,2021-05-07 07:00:00,0,2021-05-07 06:17:26.642927
16226095271,2021-05-07 07:00:00,2021-05-07 08:00:00,0,2021-05-07 07:17:07.322315
16226310507,2021-05-07 08:00:00,2021-05-07 09:00:00,0,2021-05-07 08:17:09.182302
16226520538,2021-05-07 09:00:00,2021-05-07 10:00:00,0,2021-05-07 09:17:23.723522
16226728125,2021-05-07 10:00:00,2021-05-07 11:00:00,0,2021-05-07 10:17:11.590105
16227450048,2021-05-07 11:00:00,2021-05-07 12:00:00,0,2021-05-07 11:17:20.945453
16228081043,2021-05-07 12:00:00,2021-05-07 13:00:00,0,2021-05-07 12:17:37.688234
16228418003,2021-05-07 13:00:00,2021-05-07 14:00:00,0,2021-05-07 13:18:30.076234
16228662150,2021-05-07 14:00:00,2021-05-07 15:00:00,0,2021-05-07 14:17:10.095126
16228908315,2021-05-07 15:00:00,2021-05-07 16:00:00,0,2021-05-07 15:17:45.379672
16229219786,2021-05-07 16:00:00,2021-05-07 17:00:00,0,2021-05-07 16:17:19.797883
16251392185,2021-05-07 17:00:00,2021-05-07 18:00:00,0,2021-05-10 14:17:42.484964
16251392184,2021-05-07 18:00:00,2021-05-07 19:00:00,0,2021-05-10 14:17:42.484964
16251392183,2021-05-07 19:00:00,2021-05-07 20:00:00,0,2021-05-10 14:17:42.484964
16251392182,2021-05-07 20:00:00,2021-05-07 21:00:00,0,2021-05-10 14:17:42.484964
16251392181,2021-05-07 21:00:00,2021-05-07 22:00:00,0,2021-05-10 14:17:42.484964
16251392180,2021-05-07 22:00:00,2021-05-07 23:00:00,0,2021-05-10 14:17:42.484964
16251392179,2021-05-07 23:00:00,2021-05-08 00:00:00,0,2021-05-10 14:17:42.484964
16251392178,2021-05-08 00:00:00,2021-05-08 01:00:00,0,2021-05-10 14:17:42.484964
16251392177,2021-05-08 01:00:00,2021-05-08 02:00:00,0,2021-05-10 14:17:42.484964
16251392176,2021-05-08 02:00:00,2021-05-08 03:00:00,0,2021-05-10 14:17:42.484964
16251392175,2021-05-08 03:00:00,2021-05-08 04:00:00,0,2021-05-10 14:17:42.484964
16251392174,2021-05-08 04:00:00,2021-05-08 05:00:00,0,2021-05-10 14:17:42.484964
16251392173,2021-05-08 05:00:00,2021-05-08 06:00:00,0,2021-05-10 14:17:42.484964
16251392172,2021-05-08 06:00:00,2021-05-08 07:00:00,0,2021-05-10 14:17:42.484964
16251392171,2021-05-08 07:00:00,2021-05-08 08:00:00,0,2021-05-10 14:17:42.484964
16251392170,2021-05-08 08:00:00,2021-05-08 09:00:00,0,2021-05-10 14:17:42.484964
16251392169,2021-05-08 09:00:00,2021-05-08 10:00:00,0,2021-05-10 14:17:42.484964
